#Wavenumber (cm^-1);   Spectrum at 400.00 K (cm*km*mol^-1); Spectrum (normalised);   Integral (km*mol^-1)
73.29; 0.093638192; 0.026870890911202; 3.867274313828
74.31; 0.094750314; 0.027190031085779; 3.9637260443417
75.33; 0.095634866; 0.027443866617944; 4.0610782110747
76.35; 0.096306097; 0.027636486473069; 4.1591136625166
77.36; 0.096806094; 0.02777996815032; 4.2576580891618
78.38; 0.097188254; 0.027889634723876; 4.3565915375899
79.4; 0.097500058; 0.027979111582525; 4.4558423898209
80.42; 0.097770963; 0.028056851856518; 4.5553690113472
81.44; 0.098008979; 0.028125154136117; 4.6551379225557
82.45; 0.098206241; 0.028181761440996; 4.7551076382342
83.47; 0.098350745; 0.028223229042381; 4.8552244527815
84.49; 0.0984396; 0.028248727324235; 4.9554317176299
85.51; 0.09848907; 0.028262923486559; 5.0556893410696
86.53; 0.098538125; 0.028277000558377; 5.155996900694
87.54; 0.098644484; 0.028307521876926; 5.2564127290065
88.56; 0.098874372; 0.028373491704385; 5.3570625733193
89.58; 0.09928875; 0.028492403718769; 5.4581342368288
90.6; 0.099929359; 0.028676236129328; 5.5598580125287
91.62; 0.10080768; 0.028928283582102; 5.6624758811936
92.63; 0.10189917; 0.029241503093225; 5.7662048354027
93.65; 0.10314411; 0.029598757395305; 5.871201086506
94.67; 0.10445544; 0.0299750633088; 5.9775322219173
95.69; 0.10573267; 0.030341583713194; 6.0851635141797
96.71; 0.10687971; 0.030670744134305; 6.1939624420586
97.72; 0.1078235; 0.030941578903659; 6.3037221156281
98.74; 0.10852915; 0.031144075809745; 6.4142001106634
99.76; 0.10900755; 0.031281359902244; 6.5251650928862
100.78; 0.10931277; 0.03136894738283; 6.6364407746075
101.8; 0.10952881; 0.031430943317912; 6.7479363785832
102.81; 0.1097484; 0.031493957979015; 6.8596555089963
103.83; 0.11004914; 0.03158025985606; 6.9716807873857
104.85; 0.11047382; 0.03170212818466; 7.0841383702059
105.87; 0.11102044; 0.031858989034663; 7.1971523823402
106.89; 0.11164509; 0.032038241769569; 7.3108022614386
107.9; 0.11227638; 0.032219399952582; 7.4250947693003
108.92; 0.11283627; 0.032380068829148; 7.5399572225039
