#Wavenumber (cm^-1);  Spectrum (K*cm*km*mol^-1); Spectrum (normalised);  Integral (K*km*mol^-1)
58.02; 1822.1692; 0.018594501149175; 60389.976841091
59.04; 1844.844; 0.018825888330266; 62267.948433388
60.06; 1863.235; 0.019013561061554; 64164.64121274
61.08; 1878.425; 0.019168568879959; 66076.796794114
62.1; 1891.7698; 0.019304747177197; 68002.536827906
63.11; 1904.7021; 0.019436716078445; 69941.441407542
64.13; 1918.6311; 0.019578855900865; 71894.525097621
65.15; 1934.8841; 0.019744711205179; 73864.153577714
66.17; 1954.6204; 0.019946112179924; 75853.872829522
67.19; 1978.6775; 0.020191605174535; 77868.081182052
68.2; 2007.3645; 0.02048434442974; 79911.491576694
69.22; 2040.2765; 0.020820198104482; 81988.404985152
70.24; 2076.226; 0.021187048240607; 84101.913457206
71.26; 2113.362; 0.021566006130289; 86253.224818267
72.27; 2149.4866; 0.021934643091233; 88441.309396458
73.29; 2182.4973; 0.022271503959633; 90662.997499504
74.31; 2210.8275; 0.022560602214865; 92913.524464984
75.33; 2233.7403; 0.022794418089884; 95187.375653818
76.35; 2251.38; 0.022974424107943; 97479.183322261
77.36; 2264.5652; 0.023108973751605; 99784.412988128
78.38; 2274.4042; 0.023209376774994; 102099.65831715
79.4; 2281.8791; 0.023285655112176; 104422.51273073
80.42; 2287.5573; 0.023343598851114; 106751.14737233
81.44; 2291.5408; 0.023384248860634; 109083.83697816
82.45; 2293.6695; 0.023405971384863; 111418.69354931
83.47; 2293.8988; 0.023408311298804; 113753.78358196
84.49; 2292.6948; 0.02339602496481; 116087.64796838
85.51; 2291.2802; 0.023381589542828; 118420.07236134
86.53; 2291.6113; 0.023384968284676; 120752.83382267
87.54; 2296.0596; 0.023430361390575; 123090.12336763
88.56; 2306.8778; 0.0235407567547; 125438.42539953
89.58; 2325.6112; 0.023731923539776; 127805.7972974
90.6; 2352.6372; 0.024007712960461; 130200.68049681
91.62; 2386.9817; 0.02435818471946; 132630.52490771
92.63; 2426.4753; 0.024761200965473; 135100.5720279
93.65; 2468.2063; 0.025187048975338; 137613.09957907
94.67; 2509.1424; 0.025604785351571; 140167.29823638
95.69; 2546.7437; 0.025988491439931; 142759.7734096
96.71; 2579.4068; 0.026321805190644; 145385.49826201
97.72; 2606.6323; 0.026599630428298; 148038.93744048
98.74; 2628.8976; 0.026826838827187; 150715.04172405
99.76; 2647.3021; 0.027014649320527; 153409.88104334
100.78; 2663.1087; 0.027175949293034; 156120.81073708
101.8; 2677.3248; 0.027321018855063; 158846.21188578
102.81; 2690.4437; 0.027454891933988; 161584.96750289
103.83; 2702.4047; 0.027576949110811; 164335.89890911
104.85; 2712.7642; 0.027682663626595; 167097.37576137
105.87; 2720.9988; 0.027766694395616; 169867.23509004
