#Wavenumber (cm^-1);   Spectrum (K*cm*km*mol^-1);  Spectrum (normalised);   Integral (K*km*mol^-1)
47.84; 481.6507; 0.008688458644602; 13198.543761887
48.86; 480.89987; 0.008674914481988; 13688.079076551
49.88; 481.26875; 0.00868156867895; 14177.989896572
50.9; 483.68436; 0.008725143675491; 14670.359700879
51.92; 488.73191; 0.008816196028227; 15167.867690516
52.93; 496.54865; 0.008957201578983; 15673.332789809
53.95; 506.82326; 0.009142544451057; 16189.256997423
54.97; 518.88853; 0.009360188896359; 16717.463133823
55.99; 531.8691; 0.009594344365516; 17258.882926462
57.01; 544.83724; 0.009828275610893; 17813.503724806
58.02; 556.94041; 0.010046603731279; 18380.44502941
59.04; 567.48575; 0.010236830280276; 18958.121030291
60.06; 575.98819; 0.01039020511876; 19544.452155182
61.08; 582.19984; 0.010502256578749; 20137.106464354
62.1; 586.13419; 0.01057322800528; 20733.765772834
63.11; 588.08488; 0.010608416346942; 21332.410805402
64.13; 588.6228; 0.010618119843011; 21931.603415698
65.15; 588.54934; 0.010616794703917; 22530.721244244
66.17; 588.792; 0.010621172028345; 23130.08609781
67.19; 590.24942; 0.010647462311735; 23730.934540063
68.2; 593.61711; 0.010708211803623; 24335.211145877
69.22; 599.24135; 0.010809667021372; 24945.212986137
70.24; 607.04689; 0.01095047053622; 25563.160527526
71.26; 616.56403; 0.011122149467248; 26190.796105387
72.27; 627.04854; 0.011311278708716; 26829.104458699
73.29; 637.65663; 0.01150263719997; 27478.211389945
74.31; 647.61972; 0.011682360587557; 28137.460316889
75.33; 656.36697; 0.011840151534147; 28805.613569777
76.35; 663.56634; 0.011970020396607; 29481.095472132
77.36; 669.08733; 0.012069613095823; 30162.19750383
78.38; 672.91754; 0.012138705949182; 30847.198520661
79.4; 675.07899; 0.012177696173711; 31534.399805485
80.42; 675.58442; 0.012186813585255; 32222.115592596
81.44; 674.45172; 0.012166380900103; 32908.678344351
82.45; 671.76722; 0.012117955418251; 33592.508382205
83.47; 667.76597; 0.012045777187945; 34272.265321654
84.49; 662.88977; 0.011957815804223; 34947.058497826
85.51; 657.79113; 0.011865841843044; 35616.661482578
86.53; 653.27126; 0.011784308267833; 36281.66343726
87.54; 650.16209; 0.011728222197649; 36943.500393938
88.56; 649.17965; 0.011710500040678; 37604.337260529
89.58; 650.78304; 0.01173942346528; 38266.806309554
90.6; 655.07071; 0.011816768403171; 38933.640026408
91.62; 661.73607; 0.011937004301741; 39607.258792631
92.63; 670.09301; 0.012087754477305; 40289.38456466
93.65; 679.1705; 0.012251502596973; 40980.750827563
94.67; 687.86475; 0.012408337480782; 41680.967459764
95.69; 695.12705; 0.012539341532504; 42388.57680139
96.71; 700.15499; 0.01263004014201; 43101.304369179
97.72; 702.54713; 0.012673191765089; 43816.467027102
98.74; 702.3808; 0.012670191351456; 44531.460374893
99.76; 700.18404; 0.012630564172648; 45244.217510381
100.78; 696.79631; 0.012569453180794; 45953.526085913
101.8; 693.14518; 0.012503590737303; 46659.117972068
102.81; 689.9958; 0.01244677932213; 47361.503921004
103.83; 687.74634; 0.012406201492216; 48061.600019877
104.85; 686.33529; 0.012380747673566; 48760.259724669
105.87; 685.29439; 0.012361970961307; 49457.859845365
106.89; 683.93371; 0.012337425763078; 50154.07484946
107.9; 681.5977; 0.012295286664602; 50847.911894693
108.92; 677.90345; 0.012228646382863; 51537.988352016
109.94; 672.8752; 0.012137942181292; 52222.946270448
110.96; 666.92514; 0.012030609522494; 52901.847286874
111.98; 660.68658; 0.011918072635156; 53574.397718052
112.99; 654.76138; 0.01181118842392; 54240.916551024
114.01; 649.47712; 0.011715866078333; 54902.056230799
115.03; 644.74718; 0.011630543067111; 55558.381036496
116.05; 640.08908; 0.011546515971931; 56209.964099838
117.07; 634.7969; 0.011451050758095; 56856.159954095
118.08; 628.20583; 0.011332154970922; 57495.646378632
119.1; 619.95261; 0.011183275792184; 58126.731383324
120.12; 610.13809; 0.011006232447003; 58747.825634384
121.14; 599.3351; 0.010811358170161; 59357.922905563
122.15; 588.44176; 0.010614854076859; 59956.93122888
123.17; 578.43458; 0.010434335353272; 60545.752670039
124.19; 570.10689; 0.01028411281613; 61126.096883622
125.21; 563.87688; 0.010171730161562; 61700.099217251
126.23; 559.71779; 0.010096704668058; 62269.867772567
127.24; 557.21618; 0.010051578324361; 62837.089803201
128.26; 555.72104; 0.010024607612894; 63402.789839913
129.28; 554.52236; 0.010002984719772; 63967.269675032
130.3; 553.00021; 0.009975526777064; 64530.200025593
131.32; 550.70795; 0.009934176881356; 65090.796958316
132.33; 547.38578; 0.009874248521124; 65648.012058799
133.35; 542.92715; 0.009793819649399; 66200.688469145
134.37; 537.33253; 0.009692898744473; 66747.669799977
135.39; 530.67882; 0.009572872999326; 67287.877938265
136.41; 523.11558; 0.009436440314895; 67820.38702207
137.42; 514.87978; 0.00928787537415; 68344.512417951
138.44; 506.30868; 0.00913326198339; 68859.912810142
139.46; 497.83027; 0.008980320620164; 69366.68253855
140.48; 489.92078; 0.008837641959539; 69865.400753299
141.5; 483.03397; 0.008713411342043; 70357.108489602
142.51; 477.51872; 0.008613922186231; 70843.201944165
143.53; 473.54722; 0.008542280613807; 71325.252577127
144.55; 471.07215; 0.008497633023058; 71804.783696304
145.57; 469.82291; 0.00847509808212; 72283.043142927
146.59; 469.34027; 0.008466391777571; 72760.811283938
147.6; 469.04141; 0.008461000665817; 73238.275200889
148.62; 468.30331; 0.008447686138659; 73714.987759307
149.64; 466.55182; 0.008416091149943; 74189.917376018
150.66; 463.34455; 0.008358235461667; 74661.582133364
151.68; 458.43621; 0.008269694307043; 75128.250413579
152.69; 451.81595; 0.008150271963784; 75588.179557573
153.71; 443.70852; 0.008004022679252; 76039.855679595
154.73; 434.53602; 0.007838560681756; 76482.194592766
155.75; 424.84528; 0.007663750194144; 76914.668751931
156.77; 415.21443; 0.007490020057476; 77337.339119744
157.78; 406.15892; 0.007326668433278; 77750.791378162
158.8; 398.05793; 0.007180535319394; 78155.997169673
159.82; 391.11572; 0.007055305345708; 78554.136098908
160.84; 385.36195; 0.006951513546598; 78946.417933968
161.86; 380.68226; 0.006867096991126; 79333.936043503
162.87; 376.86345; 0.00679820978146; 79717.566777067
163.89; 373.63652; 0.006739999448009; 80097.912629028
164.91; 370.70743; 0.006687161826614; 80475.276794665
165.93; 367.77578; 0.006634278025582; 80849.656665406
166.94; 364.54928; 0.006576075448867; 81220.752103131
167.96; 360.76447; 0.006507801562495; 81587.994768956
168.98; 356.21866; 0.006425800057688; 81950.609988502
170; 350.80863; 0.006328208957082; 82307.718033378
171.02; 344.56286; 0.006215542009128; 82658.468151721
172.03; 337.65111; 0.006090861500957; 83002.182410275
173.05; 330.3614; 0.005959363002427; 83338.476063636
174.07; 323.04644; 0.005827409021156; 83667.323395888
175.09; 316.05498; 0.005701290630639; 83989.053728227
176.11; 309.67129; 0.005586135754782; 84304.285734216
177.12; 304.083; 0.005485329036222; 84613.829105285
178.14; 299.38593; 0.005400598964313; 84918.591058132
179.16; 295.61717; 0.005332614602614; 85219.516577489
180.18; 292.7948; 0.005281702094806; 85517.569050939
181.2; 290.93902; 0.00524822582708; 85813.732415418
182.21; 290.05884; 0.00523234833011; 86108.999801925
183.23; 290.10676; 0.005233212755176; 86404.315961677
184.25; 290.92215; 0.005247921510493; 86700.462154343
185.27; 292.19498; 0.005270881989563; 86997.904032553
186.29; 293.47689; 0.005294006262031; 87296.650846647
187.3; 294.24944; 0.005307942229997; 87596.184082103
188.32; 294.03464; 0.005304067469892; 87895.498659388
189.34; 292.51283; 0.005276615660417; 88193.264096987
190.36; 289.60571; 0.005224174354103; 88488.07021734
191.38; 285.49294; 0.005149984423392; 88778.689715199
192.39; 280.55458; 0.005060901740377; 89064.28217394
193.41; 275.25991; 0.004965391609629; 89344.484883232
194.43; 270.04304; 0.004871284906889; 89619.377047596
195.45; 265.20954; 0.004784093785069; 89889.348915286
196.47; 260.90378; 0.004706422523107; 90154.937700574
197.48; 257.14088; 0.004638543869482; 90416.696017723
198.5; 253.8806; 0.004579731938035; 90675.135509866
199.52; 251.10503; 0.004529663651702; 90930.749590675
200.54; 248.8639; 0.004489236085994; 91184.082305747
201.56; 247.26892; 0.004460464368713; 91435.791393065
202.57; 246.44349; 0.004445574502635; 91686.660231746
203.59; 246.45555; 0.004445792052016; 91937.541343227
204.61; 247.26823; 0.004460451921858; 92189.249727642
205.63; 248.73453; 0.00448690239086; 92442.450750439
206.65; 250.64084; 0.004521290165235; 92697.592312028
207.66; 252.78101; 0.004559896521537; 92954.912473296
208.68; 255.02828; 0.004600434846216; 93214.520254606
209.7; 257.3725; 0.004642722044228; 93476.514350106
210.72; 259.90555; 0.004688415531583; 93741.086981712
211.74; 262.76057; 0.004739917010143; 94008.56590675
212.75; 266.03108; 0.004798913479746; 94279.374066609
213.77; 269.70476; 0.004865182700892; 94553.921877374
214.79; 273.64087; 0.004936185875922; 94832.476473037
215.81; 277.60193; 0.005007639122017; 95115.063257242
216.82; 281.32902; 0.005074871801902; 95401.444061009
217.84; 284.63336; 0.005134478528183; 95691.188543251
218.86; 287.47235; 0.005185690842849; 95983.822994132
219.88; 289.98569; 0.005231028783082; 96279.01591673
220.9; 292.48258; 0.005276069983074; 96576.750558301
221.91; 295.38674; 0.005328457894183; 96877.441514341
222.93; 299.15643; 0.005396459032078; 97181.969855568
