# Distance / pm;  g(r);  Integral
861.6666667;  0.8302007978;  7.634717577
865.0000000;  0.8486037406;  7.717930404
868.3333333;  0.8652289674;  7.803428630
871.6666667;  0.8647451602;  7.889536357
875.0000000;  0.9027427772;  7.980116548
878.3333333;  0.9087373891;  8.071994272
881.6666667;  0.9190258403;  8.165618804
885.0000000;  0.9380221567;  8.261902495
888.3333333;  0.9348151014;  8.358581178
891.6666667;  0.9440037912;  8.456944205
895.0000000;  0.9495366999;  8.556624865
898.3333333;  0.9579351160;  8.657937637
901.6666667;  0.9684903686;  8.761128302
905.0000000;  0.9910241083;  8.867502046
908.3333333;  0.9876962217;  8.974300991
911.6666667;  1.011159697;  9.084440964
915.0000000;  1.020840476;  9.196450017
918.3333333;  1.029691901;  9.310254940
921.6666667;  1.032719872;  9.425224627
925.0000000;  1.040351072;  9.541883139
928.3333333;  1.047737536;  9.660218199
931.6666667;  1.060045782;  9.780804724
935.0000000;  1.088066744;  9.905466065
938.3333333;  1.083544777;  10.03049605
941.6666667;  1.085943684;  10.15669471
945.0000000;  1.095477177;  10.28490414
948.3333333;  1.099534247;  10.41449782
951.6666667;  1.107201357;  10.54591415
955.0000000;  1.119176272;  10.67968401
958.3333333;  1.116853154;  10.81410970
961.6666667;  1.120325731;  10.94989303
965.0000000;  1.142973496;  11.08938326
968.3333333;  1.122542550;  11.22732814
971.6666667;  1.132228641;  11.36742285
975.0000000;  1.150861348;  11.51080175
978.3333333;  1.142365707;  11.65409702
981.6666667;  1.162816220;  11.80095318
985.0000000;  1.168366512;  11.94951409
988.3333333;  1.155764893;  12.09746900
991.6666667;  1.161384169;  12.24714781
995.0000000;  1.155875540;  12.39711982
998.3333333;  1.142885050;  12.54640156
1001.666667;  1.172785769;  12.70061354
1005.000000;  1.180264558;  12.85684355
1008.333333;  1.170497108;  13.01281013
1011.666667;  1.173486294;  13.17021055
1015.000000;  1.182726653;  13.32989750
1018.333333;  1.165906550;  13.48834910
1021.666667;  1.153779173;  13.64618076
1025.000000;  1.194190053;  13.81060814
1028.333333;  1.189153634;  13.97540873
1031.666667;  1.173137268;  14.13904538
1035.000000;  1.174972709;  14.30399884
1038.333333;  1.166645271;  14.46883989
1041.666667;  1.168682922;  14.63503076
1045.000000;  1.178240234;  14.80365476
1048.333333;  1.181034164;  14.97375863
1051.666667;  1.167457657;  15.14297809
1055.000000;  1.182103449;  15.31540829
1058.333333;  1.162271292;  15.48601865
1061.666667;  1.173868091;  15.65941845
1065.000000;  1.165246846;  15.83262730
1068.333333;  1.160729289;  16.00624638
1071.666667;  1.158965528;  16.18068510
1075.000000;  1.154437143;  16.35552484
1078.333333;  1.140038107;  16.52925625
1081.666667;  1.165509347;  16.70796901
1085.000000;  1.155882734;  16.88629974
1088.333333;  1.135792533;  17.06260927
1091.666667;  1.148984167;  17.24206075
1095.000000;  1.145229423;  17.42201979
1098.333333;  1.129604132;  17.60060583
1101.666667;  1.135128738;  17.78115623
1105.000000;  1.134639146;  17.96272252
1108.333333;  1.123121109;  18.14353162
1111.666667;  1.129708639;  18.32649683
1115.000000;  1.136483849;  18.51166482
1118.333333;  1.125578176;  18.69615408
1121.666667;  1.129401681;  18.88237521
1125.000000;  1.113088784;  19.06699904
1128.333333;  1.110164121;  19.25223057
1131.666667;  1.107026682;  19.43803156
1135.000000;  1.102925800;  19.62423638
1138.333333;  1.095274501;  19.81023716
1141.666667;  1.090508445;  19.99651473
1145.000000;  1.076478445;  20.18147106
1148.333333;  1.086154891;  20.36917811
1151.666667;  1.073895164;  20.55584546
1155.000000;  1.054809562;  20.74025819
1158.333333;  1.066240964;  20.92774700
1161.666667;  1.062351687;  21.11562860
1165.000000;  1.049382592;  21.30228315
1168.333333;  1.048750176;  21.48989422
1171.666667;  1.051387684;  21.67905186
1175.000000;  1.053242263;  21.86962289
1178.333333;  1.042273975;  22.05928086
1181.666667;  1.034022866;  22.24850345
1185.000000;  1.025743052;  22.43727135
1188.333333;  1.018254431;  22.62571683
1191.666667;  1.014168939;  22.81446066
1195.000000;  1.027748045;  23.00680319
1198.333333;  1.010625764;  23.19699793
1201.666667;  1.009337530;  23.38800846
1205.000000;  1.020394211;  23.58218418
1208.333333;  1.011319791;  23.77569929
1211.666667;  1.000954427;  23.96828917
1215.000000;  0.9922423882;  24.16025467
1218.333333;  0.9943219493;  24.35367946
1221.666667;  0.9977163679;  24.54882804
1225.000000;  0.9955395165;  24.74461489
1228.333333;  0.9899246011;  24.94035843
1231.666667;  0.9871621447;  25.13661659
1235.000000;  0.9914298460;  25.33479153
1238.333333;  0.9869857970;  25.53314458
1241.666667;  0.9861415869;  25.73239633
1245.000000;  0.9730941612;  25.93006890
1248.333333;  0.9754289721;  26.12927821
1251.666667;  0.9690734352;  26.32824789
1255.000000;  0.9647976801;  26.52739615
1258.333333;  0.9764869557;  26.73002939
1261.666667;  0.9713715084;  26.93267045
1265.000000;  0.9719289462;  27.13650059
1268.333333;  0.9560168660;  27.33805170
1271.666667;  0.9527393715;  27.53996899
1275.000000;  0.9471121192;  27.74174735
1278.333333;  0.9440806330;  27.94393291
1281.666667;  0.9527974627;  28.14905083
1285.000000;  0.9546581544;  28.35563972
1288.333333;  0.9525574255;  28.56284484
1291.666667;  0.9426340122;  28.76895378
1295.000000;  0.9360599755;  28.97468302
1298.333333;  0.9434943445;  29.18311509
1301.666667;  0.9390092561;  29.39162286
1305.000000;  0.9413912783;  29.60173155
1308.333333;  0.9337081519;  29.81119139
1311.666667;  0.9305844700;  30.02101559
1315.000000;  0.9248733830;  30.23061333
1318.333333;  0.9234903129;  30.44095999
1321.666667;  0.9303342693;  30.65393846
1325.000000;  0.9294728332;  30.86779438
1328.333333;  0.9389949044;  31.08492955
1331.666667;  0.9373836650;  31.30278140
1335.000000;  0.9407045698;  31.52250089
1338.333333;  0.9369440605;  31.74243625
1341.666667;  0.9375150892;  31.96360325
