#Wavenumber (cm^-1);   Spectrum at 400.00 K (cm*km*mol^-1); Spectrum (normalised);   Integral (km*mol^-1)
143.53; 0.11484178; 0.030830483960491; 11.759951987365
144.55; 0.11519807; 0.030926133759112; 11.877218649241
145.57; 0.11553786; 0.031017353959155; 11.994831206677
146.59; 0.11580025; 0.031087795314961; 12.112710868889
147.6; 0.11587013; 0.031106555336089; 12.230661666089
148.62; 0.11558568; 0.031030191741215; 12.348322901575
149.64; 0.11477554; 0.030812701135655; 12.465159444799
150.66; 0.11331157; 0.030419682988395; 12.580505732378
151.68; 0.11115627; 0.02984107002994; 12.693658019614
152.69; 0.108386; 0.029097361905587; 12.803990291749
153.71; 0.10518092; 0.028236924462592; 12.911059934124
154.73; 0.10178518; 0.027325302336882; 13.014672857769
155.75; 0.098451235; 0.026430269728996; 13.11489196688
156.77; 0.095386578; 0.025607530317582; 13.211991387216
157.78; 0.092718188; 0.024891172950992; 13.30637450168
158.8; 0.090482064; 0.02429086193948; 13.398481338855
159.82; 0.088635904; 0.023795240866134; 13.488708864228
160.84; 0.087086064; 0.023379170014034; 13.577358719366
161.86; 0.085717736; 0.023011827967814; 13.664615675387
162.87; 0.084419588; 0.022663326480879; 13.75055117288
163.89; 0.083099087; 0.022308824095943; 13.835142458051
164.91; 0.081689532; 0.021930414227871; 13.918298876631
165.93; 0.080152413; 0.021517758462043; 13.999890574123
166.94; 0.078478434; 0.021068361189468; 14.079778233148
167.96; 0.076688219; 0.020587759139906; 14.157843530586
168.98; 0.074831241; 0.020089233860657; 14.234018504924
170; 0.072980444; 0.019592367935881; 14.308309447383
171.02; 0.07122106; 0.019120042792607; 14.380809413019
172.03; 0.06963472; 0.018694173131532; 14.451694552681
173.05; 0.068282604; 0.01833118336726; 14.521203296535
174.07; 0.067192682; 0.018038582340533; 14.589602547164
175.09; 0.06635516; 0.017813740749018; 14.657149236395
176.11; 0.065727465; 0.017645229423005; 14.724056959502
177.12; 0.0652467; 0.017516163001174; 14.790475284716
178.14; 0.064844975; 0.017408315698833; 14.856484670945
179.16; 0.06446252; 0.01730564163071; 14.922104734477
180.18; 0.064055061; 0.017196254975748; 14.987310022979
181.2; 0.063594754; 0.017072680719233; 15.052046738137
182.21; 0.063066627; 0.01693089947026; 15.116245842933
183.23; 0.062463814; 0.016769067978902; 15.17983131032
184.25; 0.061784303; 0.016586646102591; 15.242725065098
185.27; 0.061030106; 0.016384173983894; 15.304851078966
186.29; 0.060207675; 0.016163383730085; 15.366139894094
187.3; 0.059327348; 0.015927050686017; 15.426532574736
188.32; 0.058400098; 0.015678120668977; 15.48598135405
189.34; 0.057431771; 0.015418163099162; 15.544444419039
190.36; 0.056417189; 0.015145787888001; 15.601874682511
191.38; 0.055337685; 0.01485598368297; 15.658206057529
192.39; 0.054165134; 0.014541200031947; 15.713343826446
193.41; 0.052873078; 0.014194334006498; 15.767166338263
194.43; 0.051452316; 0.01381291550138; 15.819542575707
195.45; 0.049925613; 0.013403056020328; 15.870364694871
196.47; 0.048355392; 0.012981513674372; 15.919588397035
197.48; 0.046839973; 0.012574683501826; 15.967269468336
198.5; 0.045497589; 0.012214306395334; 16.013584051104
199.52; 0.044441746; 0.011930854234663; 16.058823830765
200.54; 0.043754731; 0.011746417830611; 16.103364258799
201.56; 0.043467007; 0.011669175295995; 16.147611796057
202.57; 0.043548415; 0.011691030129995; 16.191942203461
203.59; 0.043913363; 0.011789004259797; 16.23664411235
204.61; 0.044437876; 0.011929815292451; 16.28187995287
205.63; 0.04498319; 0.012076210572378; 16.327670898883
206.65; 0.045419474; 0.012193335601825; 16.373905963956
207.66; 0.045644446; 0.012253731701899; 16.420370040658
208.68; 0.045594236; 0.012240252299197; 16.466783005837
209.7; 0.045246725; 0.012146959315479; 16.512842218944
210.72; 0.044619398; 0.011978546782937; 16.558262841109
211.74; 0.043764157; 0.011748948339471; 16.602812864279
212.75; 0.042760567; 0.011479524046344; 16.646341276778
213.77; 0.041707756; 0.01119688585797; 16.688797972126
214.79; 0.040714303; 0.010930182949133; 16.73024337526
215.81; 0.039885841; 0.010707773609928; 16.770845440288
216.82; 0.039311333; 0.010553540893584; 16.810862680678
217.84; 0.039050585; 0.010483540349952; 16.850614491155
218.86; 0.039126397; 0.010503892878883; 16.890443474493
219.88; 0.039524129; 0.010610668218369; 16.930677332457
220.9; 0.040199425; 0.010791958533588; 16.971598612152
221.91; 0.041091949; 0.011031565990616; 17.013428442798
222.93; 0.042140644; 0.011313099195491; 17.056325800223
223.95; 0.043295166; 0.011623042771801; 17.100398410583
224.97; 0.044519481; 0.011951723013174; 17.145717321431
225.99; 0.045786728; 0.012291928801586; 17.192326234266
227; 0.047068092; 0.012635924447156; 17.240239520894
228.02; 0.048321274; 0.012972354338356; 17.289428492208
229.04; 0.049484663; 0.013284678354095; 17.339801743656
230.06; 0.050481418; 0.013552267719569; 17.391189648544
231.08; 0.05123371; 0.013754228420976; 17.443343354829
232.09; 0.051683103; 0.013874872699377; 17.495954523216
233.11; 0.051809986; 0.013908935775519; 17.54869485299
234.13; 0.051644588; 0.013864532942455; 17.601266815298
235.15; 0.051264528; 0.013762501837277; 17.653451892656
236.17; 0.050778387; 0.013631992171691; 17.705142099257
237.18; 0.050299709; 0.013503486026966; 17.756345032202
