#Wavenumber (cm^-1);  Spectrum (K*cm*km*mol^-1); Spectrum (normalised);  Integral (K*km*mol^-1)
58.02; 628.45023; 0.018976496419771; 19267.84654324
59.04; 637.26964; 0.019242804703706; 19916.559533235
60.06; 647.39748; 0.019548621951159; 20575.582235852
61.08; 658.19324; 0.01987460751248; 21245.594547338
62.1; 668.8533; 0.02019649551692; 21926.458342696
63.11; 678.63328; 0.020491808887169; 22617.277737521
64.13; 687.00736; 0.02074467011874; 23316.621584697
65.15; 693.73864; 0.02094792584962; 24022.817583688
66.17; 698.86751; 0.021102795684249; 24734.234546948
67.19; 702.64581; 0.02121688410844; 25449.497658254
68.2; 705.44968; 0.021301548933873; 26167.614988486
69.22; 707.69728; 0.021369416795665; 26888.020280579
70.24; 709.78687; 0.021432513434446; 27610.552687709
71.26; 712.06125; 0.021501189937161; 28335.400312059
72.27; 714.79859; 0.021583845842482; 29063.0344326
73.29; 718.22539; 0.02168732047711; 29794.156890856
74.31; 722.54206; 0.02181766536186; 30529.67352766
75.33; 727.94601; 0.021980841430437; 31270.691151272
76.35; 734.63403; 0.022182790895211; 32018.51688867
77.36; 742.7695; 0.022428447130117; 32774.624183236
78.38; 752.41353; 0.022719655394561; 33540.548690525
79.4; 763.43869; 0.023052567850122; 34317.696337816
80.42; 775.46157; 0.02341560716236; 35107.082754148
81.44; 787.83577; 0.023789254828935; 35909.065569879
82.45; 799.73316; 0.024148504882419; 36723.159416336
83.47; 810.31029; 0.024467888757219; 37548.020320232
84.49; 818.91985; 0.024727860472904; 38381.645392147
85.51; 825.30062; 0.024920532307968; 39221.765805899
86.53; 829.67691; 0.025052677460523; 40066.341101813
87.54; 832.72619; 0.0251447526134; 40914.020433295
88.56; 835.4202; 0.025226100138915; 41764.442143365
89.58; 838.79368; 0.025327964738666; 42618.297916648
90.6; 843.72214; 0.025476783052481; 43477.170651256
91.62; 850.78328; 0.025689999137913; 44343.231314912
92.63; 860.23782; 0.025975485618617; 45218.916291026
93.65; 872.11078; 0.02633399799108; 46106.687427469
94.67; 886.30947; 0.026762737415601; 47008.912218491
95.69; 902.7014; 0.027257703263506; 47927.823286919
96.71; 921.10061; 0.027813280341888; 48865.463959054
97.72; 941.16378; 0.028419101862033; 49823.528075509
98.74; 962.25233; 0.029055885451997; 50803.059427685
99.76; 983.34642; 0.029692836326155; 51804.063649172
100.78; 1003.0849; 0.030288853603533; 52825.160792707
101.8; 1019.9554; 0.030798270208965; 53863.431332132
102.81; 1032.5921; 0.031179844247545; 54914.565508378
103.83; 1040.0884; 0.031406200295042; 55973.330569638
104.85; 1042.2169; 0.031470471848622; 57034.262421247
105.87; 1039.4857; 0.031388001344917; 58092.413991455
106.89; 1033.0194; 0.031192746871386; 59143.983213479
107.9; 1024.3227; 0.030930143902152; 60186.699484966
108.92; 1015.0129; 0.030649027947482; 61219.938847322
109.94; 1006.6053; 0.03039515455595; 62244.619616644
110.96; 1000.381; 0.030207207442516; 63262.964257667
111.98; 997.31682; 0.030114682373666; 64278.18974321
112.99; 998.01943; 0.030135898176466; 65294.130456667
114.01; 1002.6151; 0.03027466766232; 66314.749335071
115.03; 1010.5998; 0.030515771291103; 67343.496341604
116.05; 1020.7181; 0.030821300471551; 68382.543271675
117.07; 1030.9792; 0.03113114159837; 69432.035617545
118.08; 1038.9079; 0.031370554267793; 70489.599058318
119.1; 1042.046; 0.031465311403; 71550.356945476
120.12; 1038.6115; 0.031361604261459; 72607.618655607
121.14; 1028.1188; 0.031044769809853; 73654.199274068
122.15; 1011.7266; 0.030549795809108; 74684.09331784
123.17; 992.1347; 0.029958204617859; 75694.043627087
124.19; 972.99123; 0.029380154085652; 76684.506715968
125.21; 957.94679; 0.028925876645421; 77659.655211082
126.23; 949.63655; 0.028674943107521; 78626.344239717
127.24; 948.92286; 0.028653392736333; 79592.306761823
128.26; 954.66015; 0.028826634240508; 80564.109600354
129.28; 964.07298; 0.029110861258445; 81545.49429368
130.3; 973.627; 0.029399351607672; 82536.604565336
131.32; 980.10168; 0.029594859121193; 83534.305782234
