#Wavenumber (cm^-1);  Spectrum (K*cm*km*mol^-1); Spectrum (normalised);  Integral (K*km*mol^-1)
36.65; 115.6511; 0.007014845978133; 2345.9570997856
37.66; 118.62647; 0.007195317778902; 2466.7137228582
38.68; 121.61774; 0.007376753998091; 2590.5153293691
39.7; 124.45434; 0.007548808670304; 2717.2044782056
40.72; 127.05614; 0.007706621490639; 2846.5421425261
41.74; 129.48444; 0.007853910625707; 2978.3517175603
42.75; 131.94305; 0.008003038221297; 3112.6640477808
43.77; 134.72189; 0.008171589446472; 3249.805121817
44.79; 138.0979; 0.008376362165198; 3390.3828200219
45.81; 142.22564; 0.008626731252373; 3535.1623877431
46.83; 147.05777; 0.008919825288628; 3684.860856596
47.84; 152.32732; 0.009239451142806; 3839.9234908843
48.86; 157.60404; 0.0095595118951; 4000.3575992356
49.88; 162.41102; 0.009851080451906; 4165.6850098833
50.9; 166.36566; 0.010090950115912; 4335.0380740568
51.92; 169.29935; 0.010268893806008; 4507.3775068998
52.93; 171.31603; 0.010391216028513; 4681.7698357244
53.95; 172.76952; 0.010479377822744; 4857.6417522675
54.97; 174.16591; 0.010564076202399; 5034.935137953
55.99; 176.02143; 0.010676623225379; 5214.1173550973
57.01; 178.71917; 0.010840255310064; 5396.0457556887
58.02; 182.40716; 0.011063951252592; 5581.7283734047
59.04; 186.96517; 0.011340418472677; 5772.0508492862
60.06; 192.04564; 0.011648575632847; 5967.5450190544
61.08; 197.1718; 0.011959504131229; 6168.2574020023
62.1; 201.86115; 0.012243937811389; 6373.7433372798
63.11; 205.73823; 0.012479103054477; 6583.175981132
64.13; 208.6081; 0.012653175726741; 6795.5300275137
65.15; 210.476; 0.012766473661672; 7009.7855140413
66.17; 211.516; 0.012829555118029; 7225.0996735646
67.19; 212.00479; 0.012859202795964; 7440.9114059622
68.2; 212.2442; 0.012873724268528; 7656.9668385306
69.22; 212.49511; 0.012888943276427; 7873.2776933951
70.24; 212.93868; 0.012915848124115; 8090.0400854154
71.26; 213.66927; 0.012960162240653; 8307.5461789435
72.27; 214.71302; 0.013023471154185; 8526.1147663291
73.29; 216.05815; 0.013105060345905; 8746.052638168
74.31; 217.68072; 0.013203477729213; 8967.6422183808
75.33; 219.5538; 0.013317089858322; 9191.1385091223
76.35; 221.6363; 0.013443404409151; 9416.7546975179
77.36; 223.84819; 0.013577567142325; 9644.6224938682
78.38; 226.04656; 0.013710909816566; 9874.7281327544
79.4; 228.01956; 0.013830582617905; 10106.842200523
80.42; 229.51012; 0.013920992902123; 10340.473598135
81.44; 230.27013; 0.013967091496013; 10574.878653215
82.45; 230.13211; 0.013958719858892; 10809.143209023
83.47; 229.07486; 0.013894592099533; 11042.331536204
84.49; 227.25698; 0.013784328140031; 11273.669339829
85.51; 224.99996; 0.013647428035583; 11502.709591475
86.53; 222.71937; 0.013509098286975; 11729.428295922
87.54; 220.82218; 0.013394023759873; 11954.21574734
88.56; 219.60349; 0.01332010381752; 12177.762618946
89.58; 219.17936; 0.013294378107823; 12400.87774762
90.6; 219.48228; 0.013312751795092; 12624.301237444
91.62; 220.32331; 0.013363764677053; 12848.580858815
92.63; 221.49964; 0.013435115263165; 13074.057932748
93.65; 222.90678; 0.013520465686721; 13300.967416015
94.67; 224.60989; 0.013623768243582; 13529.610589049
95.69; 226.8415; 0.013759127098217; 13760.525444493
96.71; 229.91938; 0.013945816668304; 13994.573453478
97.72; 234.10869; 0.014199920299006; 14232.886002294
98.74; 239.47557; 0.014525449728325; 14476.661803509
99.76; 245.7858; 0.014908198284427; 14726.861146773
100.78; 252.48917; 0.015314792844137; 14983.884225652
101.8; 258.80235; 0.015697720333216; 15247.333846901
102.81; 263.87067; 0.016005140532141; 15515.942805495
103.83; 266.96357; 0.016192741144031; 15787.700199273
104.85; 267.64857; 0.016234289987881; 16060.154891563
105.87; 265.89707; 0.016128052323642; 16330.826634051
106.89; 262.09701; 0.015897558747639; 16597.63008167
107.9; 256.97459; 0.015586857099879; 16859.219126354
108.92; 251.4497; 0.015251743535061; 17115.184074914
109.94; 246.46145; 0.014949180001723; 17366.071198913
110.96; 242.79983; 0.014727083538045; 17613.230946906
111.98; 240.97113; 0.014616163288776; 17858.529154529
112.99; 241.11355; 0.014624801808982; 18103.972346579
114.01; 242.97067; 0.014737445880356; 18351.306002175
115.03; 245.92524; 0.014916656051999; 18601.647280754
